Name,City,State,OwnerType,Owner,Operator,Specialty,Region,License Status,Website,Notes
Pacific Cataract and Laser Institute,Chehalis,WA,Physician-affiliated,"Pacific Cataract and Laser Institute, Inc., P.C.",Unknown,Ophthalmology,Central WA,Active,,"DOH Credential: ASF.FS.60101110; Expires: 3/7/2027; Address: 2517 NE Kresky Ave, Chehalis, WA 98532-2409"
Confluence Health - Moses Lake Ambulatory Surgical Center,Moses Lake,WA,Physician group,Central Washington Health Services Association,Unknown,ENT,Central WA,Active,,"DOH Credential: ASF.FS.61433945; Expires: 2/6/2028; Address: 840 E Hill Ave, Moses Lake, WA 98837-2238"
MultiCare Yakima Ambulatory Surgery Center,Yakima,WA,Independent / LLC,"MYASC, LLC",Unknown,ENT,Central WA,Active,,"DOH Credential: ASF.FS.61529296; Expires: 10/15/2027; Address: 111 S 11th Ave Ste 220, Yakima, WA 98902-3270"
Northwest Surgery Center,Yakima,WA,Independent / LLC,"Northwest Neurosciences, PLLC",Unknown,ENT,Central WA,Active,,"DOH Credential: ASF.FS.60455333; Expires: 8/1/2026; Address: 1110 N 35th Ave, Yakima, WA 98902-1622"
Pacific Cataract and Laser Institute,Yakima,WA,Physician-affiliated,"Pacific Cataract and Laser Institute, Inc., P.C.",Unknown,Ophthalmology,Central WA,Active,,"DOH Credential: ASF.FS.60101096; Expires: 3/7/2027; Address: 3900 Kern Way, Yakima, WA 98902-7803"
Bellingham Ambulatory Surgery Center,Bellingham,WA,Independent / LLC,"Whatcom ASC, LLC",Unknown,ENT,Northwest WA,Active,,"DOH Credential: ASF.FS.61642947; Expires: 7/1/2027; Address: 2075 Barkley Blvd Ste 101, Bellingham, WA 98226-6734"
Cascade Outpatient Spine Center,Bellingham,WA,Physician-affiliated,"Fourth Corner Neurosurgical Associates, Inc., P.S.",Unknown,Spine,Northwest WA,Active,,"DOH Credential: ASF.FS.60600948; Expires: 3/22/2028; Address: 710 Birchwood Ave Ste 103, Bellingham, WA 98225-1720"
Northwest Endoscopy Center,Bellingham,WA,Physician group,Northwest Endoscopy Center LLC,Unknown,GI/Endoscopy,Northwest WA,Active,,"DOH Credential: ASF.FS.61147863; Expires: 3/22/2028; Address: 3111 Woburn St Ste 101, Bellingham, WA 98226-6610"
Pacific Cataract and Laser Institute,Bellingham,WA,Physician-affiliated,"Pacific Cataract and Laser Institute, Inc., P.C.",Unknown,Ophthalmology,Northwest WA,Active,,"DOH Credential: ASF.FS.60276759; Expires: 5/4/2027; Address: 4330 Mitchell Way, Bellingham, WA 98226-9175"
Pacific Northwest Urology Surgery Center,Bellingham,WA,Independent / LLC,Pacific Northwest Urology Specialists PLLC,Unknown,ENT,Northwest WA,Active,,"DOH Credential: ASF.FS.60752027; Expires: 8/21/2026; Address: 3232 Squalicum Pkwy, Bellingham, WA 98225-1932"
Parkway Surgical Center,Bellingham,WA,Physician group,Parkway Surgical Center LLC,Unknown,ENT,Northwest WA,Active,,"DOH Credential: ASF.FS.60099467; Expires: 7/1/2027; Address: 2940 Squalicum Pkwy Ste 204, Bellingham, WA 98225-1892"
PeaceHealth Squalicum Surgery Center,Bellingham,WA,Health system,"PeaceHealth ASC Bellingham, LLC",Unknown,ENT,Northwest WA,Active,,"DOH Credential: ASF.FS.61473328; Expires: 7/1/2027; Address: 3009 Squalicum Pkwy, Bellingham, WA 98225-1939"
Peacehealth Medical Group Endoscopy Center,Bellingham,WA,Physician group,St Joseph Medical Center,Unknown,GI/Endoscopy,Northwest WA,Active,,"DOH Credential: ASF.FS.60113919; Expires: 9/8/2027; Address: 4545 Cordata Pkwy Ste 10, Bellingham, WA 98226-7123"
Plastic Surgery Bellingham,Bellingham,WA,Physician-affiliated,"Blackburn & Whitney, M.D., P.S.",Unknown,Plastic/Cosmetic,Northwest WA,Active,,"DOH Credential: ASF.FS.60844979; Expires: 8/22/2027; Address: 2500 Squalicum Pkwy Ste 102, Bellingham, WA 98225-1856"
Whatcom Surgery Center,Bellingham,WA,Physician group,"Bellingham Ear, Nose, Throat, & Facial Plastic Surgery, Inc. P.S.",Unknown,Plastic/Cosmetic,Northwest WA,Active,,"DOH Credential: ASF.FS.60099807; Expires: 7/1/2027; Address: 2940 Squalicum Pkwy Ste 203, Bellingham, WA 98225-1892"
Cascadia Surgical,Mount Vernon,WA,Physician group,Eye Associates Surgery Center Inc,Unknown,Ophthalmology,Northwest WA,Active,,"DOH Credential: ASF.FS.60298280; Expires: 7/1/2027; Address: 2100 Little Mountain Ln Ste B, Mount Vernon, WA 98274-8752"
Northwest Eye Surgeons,Mount Vernon,WA,Independent / LLC,"Sight Partners, LLC",Unknown,Ophthalmology,Northwest WA,Active,,"DOH Credential: ASF.FS.60977760; Expires: 2/16/2027; Address: 1306 Roosevelt Ave, Mount Vernon, WA 98273-2428"
Proliance Skagit Northwest Orthopedic Surgery Center,Mount Vernon,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,Orthopedics,Northwest WA,Active,,"DOH Credential: ASF.FS.60101074; Expires: 7/1/2027; Address: 1401 S Laventure Rd, Mount Vernon, WA 98274-6033"
Arlington Surgery Center,Arlington,WA,Health system,Public Hospital District #1 Skagit County,Unknown,ENT,Other WA,Active,,"DOH Credential: ASF.FS.60651816; Expires: 4/15/2028; Address: 875 Wesley St Ste 160, Arlington, WA 98223-1650"
Optum - Pumphrey Surgery Center,Arlington,WA,Independent / LLC,"Optum Care Washington, PLLC",Unknown,ENT,Other WA,Active,,"DOH Credential: ASF.FS.61416995; Expires: 10/16/2026; Address: 4011 172nd St NE, Arlington, WA 98223-8482"
Centralia Surgery Center,Centralia,WA,Physician group,Olympia Orthopaedic Associates PLLC,Unknown,Orthopedics,Other WA,Active,,"DOH Credential: ASF.FS.70076325; Expires: 7/1/2027; Address: 1900 Cooks Hill Rd, Centralia, WA 98531-9073"
"Ear, Nose, Throat, Facial Plastic Surgery and Allergy of Western Washington, Inc., P.S.",Enumclaw,WA,Physician group,"Ear, Nose, Throat, Facial Plastic Surgery and Allergy of Western Washington, Inc., P.S.",Unknown,Plastic/Cosmetic,Other WA,Active,,"DOH Credential: ASF.FS.60360678; Expires: 7/2/2027; Address: 1427 Jefferson Ave Bsmt Ste B2, Enumclaw, WA 98022-3649"
Confluence Health - Omak Ambulatory Surgical Facility,Omak,WA,Physician group,Central Washington Health Services Association,Unknown,ENT,Other WA,Active,,"DOH Credential: ASF.FS.61433969; Expires: 1/9/2027; Address: 916 Koala Dr, Omak, WA 98841-9759"
Redmond Ambulatory Surgery Center,Redmond,WA,Physician group,Redmond Ambulatory Surgery Center LLC,Unknown,ENT,Other WA,Active,,"DOH Credential: ASF.FS.60826603; Expires: 6/7/2027; Address: 18100 NE Union Hill Rd Ste 340, Redmond, WA 98052-3330"
Northwest Eye Surgeons,Sequim,WA,Independent / LLC,"Sight Partners, LLC",Unknown,Ophthalmology,Other WA,Active,,"DOH Credential: ASF.FS.60977737; Expires: 1/1/2027; Address: 795 N 5th Ave, Sequim, WA 98382-3080"
EVIVA,Shoreline,WA,Physician group,"Puget Sound Surgical Center, P.S.",Unknown,ENT,Other WA,Active,,"DOH Credential: ASF.FS.60501191; Expires: 7/20/2027; Address: 19930 Ballinger Way NE, Shoreline, WA 98155-1223"
Tukwila Ambulatory Surgery Center,Tukwila,WA,Independent / LLC,"Sound Pain Alliance, PLLC",Unknown,ENT,Other WA,Active,,"DOH Credential: ASF.FS.61527403; Expires: 6/5/2027; Address: 7200 S 180th St Ste 104, Tukwila, WA 98188-5548"
la Belle Vie Cosmetic Surgery Centers,Tukwila,WA,Independent / LLC,"Total Health Medical Institute, LLC",Unknown,Plastic/Cosmetic,Other WA,Active,,"DOH Credential: ASF.FS.60208682; Expires: 3/25/2029; Address: 16400 Southcenter Pkwy Ste 101, Tukwila, WA 98188-3302"
Advanced Dermatology and Skin Surgery,spokane Valley,WA,Physician group,"MWD Management, LLC",Unknown,ENT,Other WA,Active,,"DOH Credential: ASF.FS.61057954; Expires: 7/1/2027; Address: 1807 N Hutchinson Rd, spokane Valley, WA 99212"
MultiCare Surgery Center - Auburn,Auburn,WA,Physician group,"VP Surgery Center of Auburn, LLC",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60604663; Expires: 3/16/2028; Address: 1002 15th St SW Ste 215, Auburn, WA 98001-6502"
