City,Latitude,Longitude
Arlington,48.1987,-122.1251
Auburn,47.3073,-122.2285
Bellevue,47.6101,-122.2015
Bellingham,48.7519,-122.4787
Bremerton,47.5673,-122.6326
Burien,47.4704,-122.3468
Centralia,46.7162,-122.9543
Chehalis,46.662,-122.964
Clarkston,46.4165,-117.045
Edmonds,47.8107,-122.3774
Ellensburg,46.9965,-120.5478
Everett,47.9789,-122.2021
Federal Way,47.3223,-122.3126
Gig Harbor,47.3293,-122.5801
Issaquah,47.5301,-122.0326
Kennewick,46.2112,-119.1372
Kirkland,47.6815,-122.2087
Lacey,47.0343,-122.8232
Lakewood,47.1718,-122.5185
Longview,46.1382,-122.9382
Lynnwood,47.8209,-122.3151
Mercer Island,47.5707,-122.2221
Moses Lake,47.1301,-119.2781
Mount Vernon,48.4212,-122.3341
Mountlake Terrace,47.788,-122.3087
Olympia,47.0379,-122.9007
Pasco,46.2396,-119.1006
Port Angeles,48.1181,-123.4307
Poulsbo,47.7359,-122.6465
Puyallup,47.1854,-122.2929
Redmond,47.6739,-122.1215
Renton,47.4829,-122.2171
Richland,46.2857,-119.2845
Seattle,47.6062,-122.3321
Sequim,48.0795,-123.1018
Silverdale,47.6445,-122.6949
Spokane,47.6588,-117.426
Spokane Valley,47.6732,-117.2394
Tacoma,47.2529,-122.4443
Tumwater,47.0073,-122.9093
Vancouver,45.6387,-122.6615
Walla Walla,46.0646,-118.343
Wenatchee,47.4235,-120.3103
Yakima,46.6021,-120.5059
